PE,DEN,AC,GR,CNL,classification
0.825808375,0.666279193,0.153398558,0.734381915,0.436309527,3
0.901538739,0.525414773,0.108291169,0.875383221,0.220066754,3
0.83990597,0.433900454,0.184790918,0.577553251,0.340943115,3
0.809602729,0.403254782,0.248952127,0.510013063,0.528203613,3
0.846091437,0.584803973,0.161425619,0.749246888,0.285699358,3
0.834566497,0.683081475,0.155272528,0.463879929,0.422066557,3
0.859287562,0.709605833,0.159380431,0.438860601,0.427532257,3
0.879917342,0.539680862,0.135552706,0.922313455,0.28194169,3
0.822833526,0.719539258,0.16865995,0.357860361,0.468303965,3
0.711051321,0.652118778,0.066593326,0.984476554,0.2369843,3
0.898106221,0.52287858,0.079450913,0.960856815,0.252955396,3
0.827881755,0.602028955,0.198875349,0.668116019,0.615084126,3
0.855203212,0.612068055,0.26302038,0.657487137,0.683853479,3
0.820850294,0.363098383,0.306876659,0.40421743,0.64363035,3
0.821259422,0.54654972,0.263178117,0.568398603,0.654338701,3
0.854717805,0.629398711,0.172832566,0.814854309,0.31075718,3
0.838526028,0.571066258,0.087293274,0.966697769,0.279751391,3
0.824560187,0.608369439,0.286964048,0.588829943,0.687904527,3
0.836196077,0.626439818,0.185810141,0.672632028,0.594304419,3
0.850265933,0.680439607,0.154076693,0.518679854,0.393319388,3
0.916745834,0.535665222,0.064240752,0.675895071,0.053752745,3
0.822778051,0.626545493,0.117899644,0.88035243,0.324180296,3
0.72281203,0.694494346,0.094191908,0.906710032,0.318013299,3
0.773966951,0.712670401,0.144628651,0.437524993,0.446398968,3
0.819595171,0.499418789,0.233280889,0.557159233,0.523925498,3
0.8336997,0.561978231,0.081738774,0.972248141,0.282520411,3
0.832929984,0.633097326,0.171853787,0.728274373,0.370773376,3
0.811572093,0.703688048,0.144062415,0.455546373,0.438706799,3
0.842721328,0.409489591,0.194983154,0.543360614,0.380900996,3
0.827424086,0.606995667,0.185065946,0.684050012,0.524560483,3
0.903806281,0.525731798,0.102782508,0.870587294,0.216391473,3
0.80092782,0.697453239,0.155013677,0.52918344,0.408548997,3
0.833949337,0.66353165,0.174231976,0.62731732,0.472752884,3
0.567218412,0.75261545,0.129709697,0.514776999,0.377478906,3
0.924269636,0.421113812,0.043219938,0.475236597,0,3
0.907044637,0.525203424,0.085137535,0.900202607,0.226442734,3
0.881754953,0.287012575,0.262963757,0.348063235,0.611328466,3
0.884743671,0.558913664,0.120923611,0.700554504,0.12455968,3
0.83308254,0.641762655,0.177548497,0.667614833,0.551907067,3
0.84191694,0.660150058,0.163352167,0.763232119,0.371494768,3
0.90320299,0.547183768,0.097101279,0.66735091,0.085240802,3
0.839261072,0.488005918,0.168986209,0.654655968,0.286549355,3
0.834469416,0.456409173,0.182877851,0.607461811,0.334856495,3
0.907217996,0.544224876,0.087401128,0.659923756,0.073945693,3
0.884944768,0.511994082,0.042625391,0.994692224,0.269816678,3
0.905456664,0.549402938,0.098005908,0.71872784,0.105218739,3
0.869425625,0.347986896,0.203545442,0.456828664,0.425319854,3
0.852311576,0.654337948,0.159129669,0.785785503,0.37130588,3
0.840003051,0.619570961,0.221155363,0.663879929,0.646783174,3
0.874806704,0.328754095,0.212129301,0.42505665,0.464088142,3
